Pair,Delta (mHz)
1.085211-1.044958,0.040253
1.086239-1.044958,0.041281
1.090353-1.044958,0.045395
1.096523-1.044958,0.051565
1.098873-1.044958,0.053915
1.104456-1.044958,0.059498
1.112242-1.044958,0.067284
1.115033-1.044958,0.070075
1.119000-1.044958,0.074042
1.120763-1.044958,0.075805
1.121204-1.044958,0.076245
1.121644-1.044958,0.076686
1.126051-1.044958,0.081093
1.131487-1.044958,0.086529
1.131781-1.044958,0.086823
1.136335-1.044958,0.091377
1.141183-1.044958,0.096225
1.143093-1.044958,0.098135
1.147500-1.044958,0.102542
1.157049-1.044958,0.112091
1.167920-1.044958,0.122962
1.171593-1.044958,0.126635
1.177616-1.044958,0.132658
1.178351-1.044958,0.133393
1.179085-1.044958,0.134127
1.190691-1.044958,0.145733
1.204647-1.044958,0.159689
1.206704-1.044958,0.161746
1.208320-1.044958,0.163362
1.214490-1.044958,0.169532
1.218751-1.044958,0.173792
1.219926-1.044958,0.174968
1.220660-1.044958,0.175702
1.221542-1.044958,0.176584
1.228006-1.044958,0.183048
1.228300-1.044958,0.183342
1.241521-1.044958,0.196563
1.245341-1.044958,0.200383
1.249454-1.044958,0.204496
1.255184-1.044958,0.210226
1.255918-1.044958,0.210960
1.256212-1.044958,0.211254
1.256653-1.044958,0.211695
1.257241-1.044958,0.212282
1.258416-1.044958,0.213458
1.260032-1.044958,0.215074
1.260620-1.044958,0.215661
1.260913-1.044958,0.215955
1.261795-1.044958,0.216836
1.263558-1.044958,0.218599
1.265027-1.044958,0.220069
1.267671-1.044958,0.222713
1.273400-1.044958,0.228442
1.273988-1.044958,0.229030
1.274282-1.044958,0.229324
1.277955-1.044958,0.232996
1.278395-1.044958,0.233437
1.285153-1.044958,0.240195
1.293380-1.044958,0.248422
1.294115-1.044958,0.249156
1.294555-1.044958,0.249597
1.295731-1.044958,0.250772
1.302341-1.044958,0.257383
1.302782-1.044958,0.257824
1.309834-1.044958,0.264876
1.311303-1.044958,0.266345
1.312037-1.044958,0.267079
1.319236-1.044958,0.274278
1.326875-1.044958,0.281917
1.328344-1.044958,0.283386
1.328638-1.044958,0.283680
1.335836-1.044958,0.290878
1.336424-1.044958,0.291466
1.338922-1.044958,0.293963
1.339362-1.044958,0.294404
1.340097-1.044958,0.295139
1.341860-1.044958,0.296901
1.349352-1.044958,0.304394
1.349793-1.044958,0.304835
1.354053-1.044958,0.309095
1.376236-1.044958,0.331278
1.377705-1.044958,0.332747
1.381672-1.044958,0.336714
1.385785-1.044958,0.340827
1.386226-1.044958,0.341268
1.386667-1.044958,0.341708
1.386961-1.044958,0.342002
1.388283-1.044958,0.343325
1.389605-1.044958,0.344647
1.400770-1.044958,0.355812
1.411200-1.044958,0.366242
1.415608-1.044958,0.370649
1.416783-1.044958,0.371825
1.421778-1.044958,0.376820
1.422659-1.044958,0.377701
1.423247-1.044958,0.378289
1.423541-1.044958,0.378583
1.442198-1.044958,0.397240
1.467907-1.044958,0.422949
1.468495-1.044958,0.423536
1.469523-1.044958,0.424565
1.476134-1.044958,0.431176
1.477897-1.044958,0.432939
1.483626-1.044958,0.438668
1.491853-1.044958,0.446895
1.493469-1.044958,0.448511
1.496848-1.044958,0.451890
1.499639-1.044958,0.454681
1.500961-1.044958,0.456003
1.504046-1.044958,0.459088
1.504487-1.044958,0.459529
1.504781-1.044958,0.459823
1.505369-1.044958,0.460410
1.510951-1.044958,0.465993
1.513449-1.044958,0.468490
1.543271-1.044958,0.498313
1.545915-1.044958,0.500957
1.547091-1.044958,0.502132
1.547972-1.044958,0.503014
1.548853-1.044958,0.503895
1.550029-1.044958,0.505070
1.550469-1.044958,0.505511
1.551645-1.044958,0.506687
1.552232-1.044958,0.507274
1.552526-1.044958,0.507568
1.553114-1.044958,0.508156
1.564866-1.044958,0.519908
1.577500-1.044958,0.532542
1.578235-1.044958,0.533277
1.588078-1.044958,0.543120
1.588959-1.044958,0.544001
1.589400-1.044958,0.544442
1.589841-1.044958,0.544883
1.590281-1.044958,0.545323
1.590575-1.044958,0.545617
1.592044-1.044958,0.547086
1.593660-1.044958,0.548702
1.599684-1.044958,0.554725
1.603209-1.044958,0.558251
1.603944-1.044958,0.558986
1.611143-1.044958,0.566184
1.613346-1.044958,0.568388
1.623630-1.044958,0.578672
1.630681-1.044958,0.585723
1.631269-1.044958,0.586311
1.631857-1.044958,0.586898
1.632885-1.044958,0.587927
1.633472-1.044958,0.588514
1.634648-1.044958,0.589690
1.636411-1.044958,0.591453
1.636851-1.044958,0.591893
1.637145-1.044958,0.592187
1.637586-1.044958,0.592628
1.638467-1.044958,0.593509
1.640818-1.044958,0.595860
1.652717-1.044958,0.607759
1.664764-1.044958,0.619806
1.667261-1.044958,0.622303
1.672550-1.044958,0.627592
1.672991-1.044958,0.628033
1.673285-1.044958,0.628327
1.673725-1.044958,0.628767
1.674313-1.044958,0.629355
1.674754-1.044958,0.629796
1.675048-1.044958,0.630089
1.677251-1.044958,0.632293
1.678427-1.044958,0.633468
1.689738-1.044958,0.644780
1.694586-1.044958,0.649628
1.700610-1.044958,0.655651
1.707514-1.044958,0.662556
1.716770-1.044958,0.671811
1.717063-1.044958,0.672105
1.717504-1.044958,0.672546
1.717798-1.044958,0.672840
1.718385-1.044958,0.673427
1.720589-1.044958,0.675631
1.721617-1.044958,0.676659
1.722205-1.044958,0.677247
1.722646-1.044958,0.677688
1.724115-1.044958,0.679157
1.744829-1.044958,0.699871
1.751587-1.044958,0.706629
1.756729-1.044958,0.711770
1.757022-1.044958,0.712064
1.757463-1.044958,0.712505
1.757757-1.044958,0.712799
1.758051-1.044958,0.713092
1.758491-1.044958,0.713533
1.759079-1.044958,0.714121
1.759667-1.044958,0.714709
1.759961-1.044958,0.715002
1.760401-1.044958,0.715443
1.799626-1.044958,0.754668
1.800213-1.044958,0.755255
1.800654-1.044958,0.755696
1.800948-1.044958,0.755990
1.801389-1.044958,0.756430
1.801682-1.044958,0.756724
1.802123-1.044958,0.757165
1.802564-1.044958,0.757606
1.804180-1.044958,0.759222
1.804621-1.044958,0.759662
1.805208-1.044958,0.760250
1.805502-1.044958,0.760544
1.805796-1.044958,0.760838
1.806090-1.044958,0.761131
1.806530-1.044958,0.761572
1.809469-1.044958,0.764510
1.834296-1.044958,0.789338
1.838997-1.044958,0.794039
1.841641-1.044958,0.796683
1.842523-1.044958,0.797565
1.842964-1.044958,0.798006
1.843257-1.044958,0.798299
1.844139-1.044958,0.799181
1.845167-1.044958,0.800209
1.856773-1.044958,0.811815
1.885126-1.044958,0.840168
1.885420-1.044958,0.840462
1.885714-1.044958,0.840756
1.886008-1.044958,0.841050
1.887036-1.044958,0.842078
1.888946-1.044958,0.843988
1.889681-1.044958,0.844722
1.889974-1.044958,0.845016
1.890268-1.044958,0.845310
1.891003-1.044958,0.846045
1.921853-1.044958,0.876895
1.925526-1.044958,0.880568
1.927436-1.044958,0.882478
1.927877-1.044958,0.882918
1.928758-1.044958,0.883800
1.929052-1.044958,0.884094
1.938748-1.044958,0.893790
1.947269-1.044958,0.902310
1.969599-1.044958,0.924640
1.971949-1.044958,0.926991
1.972684-1.044958,0.927725
1.973859-1.044958,0.928901
1.974593-1.044958,0.929635
1.988403-1.044958,0.943445
1.988697-1.044958,0.943738
2.003828-1.044958,0.958870
2.011174-1.044958,0.966215
2.011614-1.044958,0.966656
2.012349-1.044958,0.967391
2.013230-1.044958,0.968272
2.015581-1.044958,0.970623
2.049663-1.044958,1.004705
2.056274-1.044958,1.011316
2.060388-1.044958,1.015430
2.061122-1.044958,1.016164
2.091239-1.044958,1.046280
2.095499-1.044958,1.050541
2.098584-1.044958,1.053626
2.103432-1.044958,1.058474
2.114009-1.044958,1.069051
2.136046-1.044958,1.091087
2.168806-1.044958,1.123848
2.173801-1.044958,1.128843
2.183644-1.044958,1.138686
2.208178-1.044958,1.163219
2.215964-1.044958,1.171005
2.225807-1.044958,1.180848
2.226541-1.044958,1.181583
2.277959-1.044958,1.233001
2.312923-1.044958,1.267965
2.316890-1.044958,1.271931
2.381089-1.044958,1.336130
2.416200-1.044958,1.371241
2.442496-1.044958,1.397538
2.447197-1.044958,1.402239
2.473934-1.044958,1.428976
2.494061-1.044958,1.449103
1.054948-1.052744,0.002204
1.056858-1.052744,0.004114
1.057739-1.052744,0.004995
1.061118-1.052744,0.008374
1.061559-1.052744,0.008814
1.063615-1.052744,0.010871
1.072136-1.052744,0.019392
1.074928-1.052744,0.022183
1.077278-1.052744,0.024534
1.078306-1.052744,0.025562
1.083742-1.052744,0.030998
1.085211-1.052744,0.032467
1.086239-1.052744,0.033495
1.090353-1.052744,0.037608
1.096523-1.052744,0.043779
1.098873-1.052744,0.046129
1.104456-1.052744,0.051712
1.112242-1.052744,0.059498
1.115033-1.052744,0.062289
1.119000-1.052744,0.066256
1.120763-1.052744,0.068018
1.121204-1.052744,0.068459
1.121644-1.052744,0.068900
1.126051-1.052744,0.073307
1.131487-1.052744,0.078743
1.131781-1.052744,0.079037
1.136335-1.052744,0.083591
1.141183-1.052744,0.088439
1.143093-1.052744,0.090349
1.147500-1.052744,0.094756
1.157049-1.052744,0.104305
1.167920-1.052744,0.115176
1.171593-1.052744,0.118849
1.177616-1.052744,0.124872
1.178351-1.052744,0.125607
1.179085-1.052744,0.126341
1.190691-1.052744,0.137947
1.204647-1.052744,0.151903
1.206704-1.052744,0.153960
1.208320-1.052744,0.155576
1.214490-1.052744,0.161746
1.218751-1.052744,0.166006
1.219926-1.052744,0.167182
1.220660-1.052744,0.167916
1.221542-1.052744,0.168798
1.228006-1.052744,0.175261
1.228300-1.052744,0.175555
1.241521-1.052744,0.188777
1.245341-1.052744,0.192597
1.249454-1.052744,0.196710
1.255184-1.052744,0.202440
1.255918-1.052744,0.203174
1.256212-1.052744,0.203468
1.256653-1.052744,0.203909
1.257241-1.052744,0.204496
1.258416-1.052744,0.205672
1.260032-1.052744,0.207288
1.260620-1.052744,0.207875
1.260913-1.052744,0.208169
1.261795-1.052744,0.209050
1.263558-1.052744,0.210813
1.265027-1.052744,0.212282
1.267671-1.052744,0.214927
1.273400-1.052744,0.220656
1.273988-1.052744,0.221244
1.274282-1.052744,0.221538
1.277955-1.052744,0.225210
1.278395-1.052744,0.225651
1.285153-1.052744,0.232409
1.293380-1.052744,0.240636
1.294115-1.052744,0.241370
1.294555-1.052744,0.241811
1.295731-1.052744,0.242986
1.302341-1.052744,0.249597
1.302782-1.052744,0.250038
1.309834-1.052744,0.257089
1.311303-1.052744,0.258558
1.312037-1.052744,0.259293
1.319236-1.052744,0.266492
1.326875-1.052744,0.274131
1.328344-1.052744,0.275600
1.328638-1.052744,0.275894
1.335836-1.052744,0.283092
1.336424-1.052744,0.283680
1.338922-1.052744,0.286177
1.339362-1.052744,0.286618
1.340097-1.052744,0.287353
1.341860-1.052744,0.289115
1.349352-1.052744,0.296608
1.349793-1.052744,0.297049
1.354053-1.052744,0.301309
1.376236-1.052744,0.323492
1.377705-1.052744,0.324961
1.381672-1.052744,0.328927
1.385785-1.052744,0.333041
1.386226-1.052744,0.333482
1.386667-1.052744,0.333922
1.386961-1.052744,0.334216
1.388283-1.052744,0.335538
1.389605-1.052744,0.336861
1.400770-1.052744,0.348026
1.411200-1.052744,0.358456
1.415608-1.052744,0.362863
1.416783-1.052744,0.364039
1.421778-1.052744,0.369034
1.422659-1.052744,0.369915
1.423247-1.052744,0.370503
1.423541-1.052744,0.370796
1.442198-1.052744,0.389454
1.467907-1.052744,0.415163
1.468495-1.052744,0.415750
1.469523-1.052744,0.416779
1.476134-1.052744,0.423389
1.477897-1.052744,0.425152
1.483626-1.052744,0.430882
1.491853-1.052744,0.439109
1.493469-1.052744,0.440725
1.496848-1.052744,0.444104
1.499639-1.052744,0.446895
1.500961-1.052744,0.448217
1.504046-1.052744,0.451302
1.504487-1.052744,0.451743
1.504781-1.052744,0.452037
1.505369-1.052744,0.452624
1.510951-1.052744,0.458207
1.513449-1.052744,0.460704
1.543271-1.052744,0.490527
1.545915-1.052744,0.493171
1.547091-1.052744,0.494346
1.547972-1.052744,0.495228
1.548853-1.052744,0.496109
1.550029-1.052744,0.497284
1.550469-1.052744,0.497725
1.551645-1.052744,0.498900
1.552232-1.052744,0.499488
1.552526-1.052744,0.499782
1.553114-1.052744,0.500369
1.564866-1.052744,0.512122
1.577500-1.052744,0.524756
1.578235-1.052744,0.525491
1.588078-1.052744,0.535334
1.588959-1.052744,0.536215
1.589400-1.052744,0.536656
1.589841-1.052744,0.537096
1.590281-1.052744,0.537537
1.590575-1.052744,0.537831
1.592044-1.052744,0.539300
1.593660-1.052744,0.540916
1.599684-1.052744,0.546939
1.603209-1.052744,0.550465
1.603944-1.052744,0.551200
1.611143-1.052744,0.558398
1.613346-1.052744,0.560602
1.623630-1.052744,0.570885
1.630681-1.052744,0.577937
1.631269-1.052744,0.578525
1.631857-1.052744,0.579112
1.632885-1.052744,0.580141
1.633472-1.052744,0.580728
1.634648-1.052744,0.581903
1.636411-1.052744,0.583666
1.636851-1.052744,0.584107
1.637145-1.052744,0.584401
1.637586-1.052744,0.584842
1.638467-1.052744,0.585723
1.640818-1.052744,0.588074
1.652717-1.052744,0.599973
1.664764-1.052744,0.612020
1.667261-1.052744,0.614517
1.672550-1.052744,0.619806
1.672991-1.052744,0.620247
1.673285-1.052744,0.620540
1.673725-1.052744,0.620981
1.674313-1.052744,0.621569
1.674754-1.052744,0.622009
1.675048-1.052744,0.622303
1.677251-1.052744,0.624507
1.678427-1.052744,0.625682
1.689738-1.052744,0.636994
1.694586-1.052744,0.641842
1.700610-1.052744,0.647865
1.707514-1.052744,0.654770
1.716770-1.052744,0.664025
1.717063-1.052744,0.664319
1.717504-1.052744,0.664760
1.717798-1.052744,0.665054
1.718385-1.052744,0.665641
1.720589-1.052744,0.667845
1.721617-1.052744,0.668873
1.722205-1.052744,0.669461
1.722646-1.052744,0.669901
1.724115-1.052744,0.671371
1.744829-1.052744,0.692085
1.751587-1.052744,0.698842
1.756729-1.052744,0.703984
1.757022-1.052744,0.704278
1.757463-1.052744,0.704719
1.757757-1.052744,0.705013
1.758051-1.052744,0.705306
1.758491-1.052744,0.705747
1.759079-1.052744,0.706335
1.759667-1.052744,0.706922
1.759961-1.052744,0.707216
1.760401-1.052744,0.707657
1.799626-1.052744,0.746881
1.800213-1.052744,0.747469
1.800654-1.052744,0.747910
1.800948-1.052744,0.748204
1.801389-1.052744,0.748644
1.801682-1.052744,0.748938
1.802123-1.052744,0.749379
1.802564-1.052744,0.749820
1.804180-1.052744,0.751436
1.804621-1.052744,0.751876
1.805208-1.052744,0.752464
1.805502-1.052744,0.752758
1.805796-1.052744,0.753052
1.806090-1.052744,0.753345
1.806530-1.052744,0.753786
1.809469-1.052744,0.756724
1.834296-1.052744,0.781552
1.838997-1.052744,0.786253
1.841641-1.052744,0.788897
1.842523-1.052744,0.789779
1.842964-1.052744,0.790219
1.843257-1.052744,0.790513
1.844139-1.052744,0.791395
1.845167-1.052744,0.792423
1.856773-1.052744,0.804029
1.885126-1.052744,0.832382
1.885420-1.052744,0.832676
1.885714-1.052744,0.832970
1.886008-1.052744,0.833263
1.887036-1.052744,0.834292
1.888946-1.052744,0.836202
1.889681-1.052744,0.836936
1.889974-1.052744,0.837230
1.890268-1.052744,0.837524
1.891003-1.052744,0.838258
1.921853-1.052744,0.869109
1.925526-1.052744,0.872782
1.927436-1.052744,0.874692
1.927877-1.052744,0.875132
1.928758-1.052744,0.876014
1.929052-1.052744,0.876308
1.938748-1.052744,0.886003
1.947269-1.052744,0.894524
1.969599-1.052744,0.916854
1.971949-1.052744,0.919205
1.972684-1.052744,0.919939
1.973859-1.052744,0.921115
1.974593-1.052744,0.921849
1.988403-1.052744,0.935658
1.988697-1.052744,0.935952
2.003828-1.052744,0.951084
2.011174-1.052744,0.958429
2.011614-1.052744,0.958870
2.012349-1.052744,0.959605
2.013230-1.052744,0.960486
2.015581-1.052744,0.962836
2.049663-1.052744,0.996919
2.056274-1.052744,1.003530
2.060388-1.052744,1.007643
2.061122-1.052744,1.008378
2.091239-1.052744,1.038494
2.095499-1.052744,1.042755
2.098584-1.052744,1.045840
2.103432-1.052744,1.050688
2.114009-1.052744,1.061265
2.136046-1.052744,1.083301
2.168806-1.052744,1.116062
2.173801-1.052744,1.121057
2.183644-1.052744,1.130899
2.208178-1.052744,1.155433
2.215964-1.052744,1.163219
2.225807-1.052744,1.173062
2.226541-1.052744,1.173797
2.277959-1.052744,1.225215
2.312923-1.052744,1.260179
2.316890-1.052744,1.264145
2.381089-1.052744,1.328344
2.416200-1.052744,1.363455
2.442496-1.052744,1.389752
2.447197-1.052744,1.394453
2.473934-1.052744,1.421190
2.494061-1.052744,1.441317
1.056858-1.054948,0.001910
1.057739-1.054948,0.002791
1.061118-1.054948,0.006170
1.061559-1.054948,0.006611
1.063615-1.054948,0.008667
1.072136-1.054948,0.017188
1.074928-1.054948,0.019980
1.077278-1.054948,0.022330
1.078306-1.054948,0.023358
1.083742-1.054948,0.028794
1.085211-1.054948,0.030263
1.086239-1.054948,0.031291
1.090353-1.054948,0.035405
1.096523-1.054948,0.041575
1.098873-1.054948,0.043925
1.104456-1.054948,0.049508
1.112242-1.054948,0.057294
1.115033-1.054948,0.060085
1.119000-1.054948,0.064052
1.120763-1.054948,0.065815
1.121204-1.054948,0.066256
1.121644-1.054948,0.066696
1.126051-1.054948,0.071103
1.131487-1.054948,0.076539
1.131781-1.054948,0.076833
1.136335-1.054948,0.081387
1.141183-1.054948,0.086235
1.143093-1.054948,0.088145
1.147500-1.054948,0.092552
1.157049-1.054948,0.102101
1.167920-1.054948,0.112972
1.171593-1.054948,0.116645
1.177616-1.054948,0.122668
1.178351-1.054948,0.123403
1.179085-1.054948,0.124137
1.190691-1.054948,0.135743
1.204647-1.054948,0.149699
1.206704-1.054948,0.151756
1.208320-1.054948,0.153372
1.214490-1.054948,0.159542
1.218751-1.054948,0.163803
1.219926-1.054948,0.164978
1.220660-1.054948,0.165712
1.221542-1.054948,0.166594
1.228006-1.054948,0.173058
1.228300-1.054948,0.173352
1.241521-1.054948,0.186573
1.245341-1.054948,0.190393
1.249454-1.054948,0.194506
1.255184-1.054948,0.200236
1.255918-1.054948,0.200970
1.256212-1.054948,0.201264
1.256653-1.054948,0.201705
1.257241-1.054948,0.202293
1.258416-1.054948,0.203468
1.260032-1.054948,0.205084
1.260620-1.054948,0.205672
1.260913-1.054948,0.205965
1.261795-1.054948,0.206847
1.263558-1.054948,0.208610
1.265027-1.054948,0.210079
1.267671-1.054948,0.212723
1.273400-1.054948,0.218452
1.273988-1.054948,0.219040
1.274282-1.054948,0.219334
1.277955-1.054948,0.223007
1.278395-1.054948,0.223447
1.285153-1.054948,0.230205
1.293380-1.054948,0.238432
1.294115-1.054948,0.239167
1.294555-1.054948,0.239607
1.295731-1.054948,0.240783
1.302341-1.054948,0.247393
1.302782-1.054948,0.247834
1.309834-1.054948,0.254886
1.311303-1.054948,0.256355
1.312037-1.054948,0.257089
1.319236-1.054948,0.264288
1.326875-1.054948,0.271927
1.328344-1.054948,0.273396
1.328638-1.054948,0.273690
1.335836-1.054948,0.280888
1.336424-1.054948,0.281476
1.338922-1.054948,0.283974
1.339362-1.054948,0.284414
1.340097-1.054948,0.285149
1.341860-1.054948,0.286912
1.349352-1.054948,0.294404
1.349793-1.054948,0.294845
1.354053-1.054948,0.299105
1.376236-1.054948,0.321288
1.377705-1.054948,0.322757
1.381672-1.054948,0.326724
1.385785-1.054948,0.330837
1.386226-1.054948,0.331278
1.386667-1.054948,0.331719
1.386961-1.054948,0.332013
1.388283-1.054948,0.333335
1.389605-1.054948,0.334657
1.400770-1.054948,0.345822
1.411200-1.054948,0.356252
1.415608-1.054948,0.360660
1.416783-1.054948,0.361835
1.421778-1.054948,0.366830
1.422659-1.054948,0.367711
1.423247-1.054948,0.368299
1.423541-1.054948,0.368593
1.442198-1.054948,0.387250
1.467907-1.054948,0.412959
1.468495-1.054948,0.413547
1.469523-1.054948,0.414575
1.476134-1.054948,0.421186
1.477897-1.054948,0.422949
1.483626-1.054948,0.428678
1.491853-1.054948,0.436905
1.493469-1.054948,0.438521
1.496848-1.054948,0.441900
1.499639-1.054948,0.444691
1.500961-1.054948,0.446013
1.504046-1.054948,0.449098
1.504487-1.054948,0.449539
1.504781-1.054948,0.449833
1.505369-1.054948,0.450421
1.510951-1.054948,0.456003
1.513449-1.054948,0.458501
1.543271-1.054948,0.488323
1.545915-1.054948,0.490967
1.547091-1.054948,0.492143
1.547972-1.054948,0.493024
1.548853-1.054948,0.493905
1.550029-1.054948,0.495081
1.550469-1.054948,0.495521
1.551645-1.054948,0.496697
1.552232-1.054948,0.497284
1.552526-1.054948,0.497578
1.553114-1.054948,0.498166
1.564866-1.054948,0.509918
1.577500-1.054948,0.522552
1.578235-1.054948,0.523287
1.588078-1.054948,0.533130
1.588959-1.054948,0.534011
1.589400-1.054948,0.534452
1.589841-1.054948,0.534893
1.590281-1.054948,0.535333
1.590575-1.054948,0.535627
1.592044-1.054948,0.537096
1.593660-1.054948,0.538712
1.599684-1.054948,0.544736
1.603209-1.054948,0.548261
1.603944-1.054948,0.548996
1.611143-1.054948,0.556195
1.613346-1.054948,0.558398
1.623630-1.054948,0.568682
1.630681-1.054948,0.575733
1.631269-1.054948,0.576321
1.631857-1.054948,0.576909
1.632885-1.054948,0.577937
1.633472-1.054948,0.578524
1.634648-1.054948,0.579700
1.636411-1.054948,0.581463
1.636851-1.054948,0.581903
1.637145-1.054948,0.582197
1.637586-1.054948,0.582638
1.638467-1.054948,0.583519
1.640818-1.054948,0.585870
1.652717-1.054948,0.597769
1.664764-1.054948,0.609816
1.667261-1.054948,0.612313
1.672550-1.054948,0.617602
1.672991-1.054948,0.618043
1.673285-1.054948,0.618337
1.673725-1.054948,0.618777
1.674313-1.054948,0.619365
1.674754-1.054948,0.619806
