Pair,Delta (mHz)
3.214264-2.805328,0.408936
3.284454-2.805328,0.479126
3.345489-2.805328,0.540161
3.418732-2.805328,0.613403
3.482056-2.805328,0.676727
3.553772-2.805328,0.748444
3.618622-2.805328,0.813293
3.688812-2.805328,0.883484
3.755188-2.805328,0.949860
3.825378-2.805328,1.020050
3.892517-2.805328,1.087189
3.963470-2.805328,1.158142
4.029083-2.805328,1.223755
4.100800-2.805328,1.295471
4.167175-2.805328,1.361847
4.238892-2.805328,1.433563
4.300690-2.805328,1.495361
4.376221-2.805328,1.570892
4.444122-2.805328,1.638794
4.513550-2.805328,1.708221
4.580688-2.805328,1.775360
4.646301-2.805328,1.840973
4.722595-2.805328,1.917267
4.785156-2.805328,1.979828
4.851532-2.805328,2.046204
4.921722-2.805328,2.116394
4.993439-2.805328,2.188110
5.064392-2.805328,2.259064
2.942657-2.877808,0.064850
3.012848-2.877808,0.135040
3.075409-2.877808,0.197601
3.147125-2.877808,0.269318
3.214264-2.877808,0.336456
3.284454-2.877808,0.406647
3.345489-2.877808,0.467682
3.418732-2.877808,0.540924
3.482056-2.877808,0.604248
3.553772-2.877808,0.675964
3.618622-2.877808,0.740814
3.688812-2.877808,0.811005
3.755188-2.877808,0.877380
3.825378-2.877808,0.947571
3.892517-2.877808,1.014709
3.963470-2.877808,1.085663
4.029083-2.877808,1.151276
4.100800-2.877808,1.222992
4.167175-2.877808,1.289368
4.238892-2.877808,1.361084
4.300690-2.877808,1.422882
4.376221-2.877808,1.498413
4.444122-2.877808,1.566315
4.513550-2.877808,1.635742
4.580688-2.877808,1.702881
4.646301-2.877808,1.768494
4.722595-2.877808,1.844788
4.785156-2.877808,1.907349
4.851532-2.877808,1.973724
4.921722-2.877808,2.043915
4.993439-2.877808,2.115631
5.064392-2.877808,2.186584
3.012848-2.942657,0.070190
3.075409-2.942657,0.132751
3.147125-2.942657,0.204468
3.214264-2.942657,0.271606
3.284454-2.942657,0.341797
3.345489-2.942657,0.402832
3.418732-2.942657,0.476074
3.482056-2.942657,0.539398
3.553772-2.942657,0.611115
3.618622-2.942657,0.675964
3.688812-2.942657,0.746155
3.755188-2.942657,0.812531
3.825378-2.942657,0.882721
3.892517-2.942657,0.949860
3.963470-2.942657,1.020813
4.029083-2.942657,1.086426
4.100800-2.942657,1.158142
4.167175-2.942657,1.224518
4.238892-2.942657,1.296234
4.300690-2.942657,1.358032
4.376221-2.942657,1.433563
4.444122-2.942657,1.501465
4.513550-2.942657,1.570892
4.580688-2.942657,1.638031
4.646301-2.942657,1.703644
4.722595-2.942657,1.779938
4.785156-2.942657,1.842499
4.851532-2.942657,1.908875
4.921722-2.942657,1.979065
4.993439-2.942657,2.050781
5.064392-2.942657,2.121735
3.075409-3.012848,0.062561
3.147125-3.012848,0.134277
3.214264-3.012848,0.201416
3.284454-3.012848,0.271606
3.345489-3.012848,0.332642
3.418732-3.012848,0.405884
3.482056-3.012848,0.469208
3.553772-3.012848,0.540924
3.618622-3.012848,0.605774
3.688812-3.012848,0.675964
3.755188-3.012848,0.742340
3.825378-3.012848,0.812531
3.892517-3.012848,0.879669
3.963470-3.012848,0.950623
4.029083-3.012848,1.016235
4.100800-3.012848,1.087952
4.167175-3.012848,1.154327
4.238892-3.012848,1.226044
4.300690-3.012848,1.287842
4.376221-3.012848,1.363373
4.444122-3.012848,1.431274
4.513550-3.012848,1.500702
4.580688-3.012848,1.567841
4.646301-3.012848,1.633453
4.722595-3.012848,1.709747
4.785156-3.012848,1.772308
4.851532-3.012848,1.838684
4.921722-3.012848,1.908875
4.993439-3.012848,1.980591
5.064392-3.012848,2.051544
3.147125-3.075409,0.071716
3.214264-3.075409,0.138855
3.284454-3.075409,0.209045
3.345489-3.075409,0.270081
3.418732-3.075409,0.343323
3.482056-3.075409,0.406647
3.553772-3.075409,0.478363
3.618622-3.075409,0.543213
3.688812-3.075409,0.613403
3.755188-3.075409,0.679779
3.825378-3.075409,0.749969
3.892517-3.075409,0.817108
3.963470-3.075409,0.888062
4.029083-3.075409,0.953674
4.100800-3.075409,1.025391
4.167175-3.075409,1.091766
4.238892-3.075409,1.163483
