Pair,Delta (microHz)
121.200290-101.239310,19.960980
121.216410-101.239310,19.977100
121.248650-101.239310,20.009340
121.288940-101.239310,20.049630
121.321170-101.239310,20.081860
121.353410-101.239310,20.114100
121.369520-101.239310,20.130210
121.385640-101.239310,20.146330
121.417870-101.239310,20.178560
121.442050-101.239310,20.202740
121.466230-101.239310,20.226920
121.482340-101.239310,20.243030
121.498460-101.239310,20.259150
121.530690-101.239310,20.291380
121.546810-101.239310,20.307500
121.619340-101.239310,20.380030
121.675750-101.239310,20.436440
121.748270-101.239310,20.508960
121.828860-101.239310,20.589550
121.925560-101.239310,20.686250
121.941680-101.239310,20.702370
122.264020-101.239310,21.024710
122.352660-101.239310,21.113350
122.409070-101.239310,21.169760
122.441310-101.239310,21.202000
122.465480-101.239310,21.226170
122.505780-101.239310,21.266470
122.538010-101.239310,21.298700
122.554130-101.239310,21.314820
122.570240-101.239310,21.330930
122.594420-101.239310,21.355110
122.610540-101.239310,21.371230
122.626650-101.239310,21.387340
122.642770-101.239310,21.403460
122.658890-101.239310,21.419580
122.691120-101.239310,21.451810
122.707240-101.239310,21.467930
122.723360-101.239310,21.484050
122.739470-101.239310,21.500160
122.787820-101.239310,21.548510
122.812000-101.239310,21.572690
122.844230-101.239310,21.604920
122.876470-101.239310,21.637160
122.908700-101.239310,21.669390
122.932880-101.239310,21.693570
123.021520-101.239310,21.782210
124.351180-101.239310,23.111870
124.810520-101.239310,23.571210
124.850810-101.239310,23.611500
125.302090-101.239310,24.062780
126.067650-101.239310,24.828340
126.333580-101.239310,25.094270
126.365810-101.239310,25.126500
126.381930-101.239310,25.142620
127.074960-101.239310,25.835650
127.252250-101.239310,26.012940
127.357010-101.239310,26.117700
127.389250-101.239310,26.149940
127.413420-101.239310,26.174110
127.429540-101.239310,26.190230
127.445660-101.239310,26.206350
127.485950-101.239310,26.246640
127.832460-101.239310,26.593150
127.848580-101.239310,26.609270
127.929170-101.239310,26.689860
127.945280-101.239310,26.705970
127.993640-101.239310,26.754330
128.041990-101.239310,26.802680
128.058100-101.239310,26.818790
128.090340-101.239310,26.851030
128.106450-101.239310,26.867140
128.130630-101.239310,26.891320
128.154810-101.239310,26.915500
128.404620-101.239310,27.165310
129.081540-101.239310,27.842230
129.105710-101.239310,27.866400
129.129890-101.239310,27.890580
131.120340-101.239310,29.881030
131.144520-101.239310,29.905210
131.305690-101.239310,30.066380
131.321810-101.239310,30.082500
131.337930-101.239310,30.098620
131.370160-101.239310,30.130850
131.394330-101.239310,30.155020
131.418510-101.239310,30.179200
131.450740-101.239310,30.211430
131.474920-101.239310,30.235610
131.499100-101.239310,30.259790
131.515210-101.239310,30.275900
131.587740-101.239310,30.348430
131.611920-101.239310,30.372610
132.095430-101.239310,30.856120
132.224360-101.239310,30.985050
132.361360-101.239310,31.122050
132.401650-101.239310,31.162340
132.417770-101.239310,31.178460
132.441940-101.239310,31.202630
132.458060-101.239310,31.218750
132.474180-101.239310,31.234870
132.490300-101.239310,31.250990
132.522530-101.239310,31.283220
132.538650-101.239310,31.299340
132.554760-101.239310,31.315450
132.595060-101.239310,31.355750
132.619230-101.239310,31.379920
132.651470-101.239310,31.412160
132.683700-101.239310,31.444390
132.740110-101.239310,31.500800
132.764290-101.239310,31.524980
132.780400-101.239310,31.541090
132.836810-101.239310,31.597500
132.852930-101.239310,31.613620
132.877100-101.239310,31.637790
132.909340-101.239310,31.670030
134.956210-101.239310,33.716900
136.954720-101.239310,35.715410
136.995010-101.239310,35.755700
137.752520-101.239310,36.513210
137.816980-101.239310,36.577670
137.833100-101.239310,36.593790
137.849220-101.239310,36.609910
137.865330-101.239310,36.626020
137.889510-101.239310,36.650200
137.905630-101.239310,36.666320
137.921740-101.239310,36.682430
137.953980-101.239310,36.714670
137.978150-101.239310,36.738840
138.018450-101.239310,36.779140
138.058740-101.239310,36.819430
138.784010-101.239310,37.544700
138.816240-101.239310,37.576930
141.016220-101.239310,39.776910
141.411090-101.239310,40.171780
141.523910-101.239310,40.284600
141.620610-101.239310,40.381300
141.652840-101.239310,40.413530
141.685080-101.239310,40.445770
141.717310-101.239310,40.478000
142.023540-101.239310,40.784230
142.619870-101.239310,41.380560
142.644040-101.239310,41.404730
142.756860-101.239310,41.517550
142.789100-101.239310,41.549790
142.805210-101.239310,41.565900
142.853560-101.239310,41.614250
142.885800-101.239310,41.646490
142.918030-101.239310,41.678720
142.974440-101.239310,41.735130
143.030850-101.239310,41.791540
143.256490-101.239310,42.017180
146.318730-101.239310,45.079420
147.551690-101.239310,46.312380
147.648390-101.239310,46.409080
147.680620-101.239310,46.441310
147.696740-101.239310,46.457430
147.712860-101.239310,46.473550
147.753150-101.239310,46.513840
147.793440-101.239310,46.554130
148.510650-101.239310,47.271340
148.526770-101.239310,47.287460
101.295720-101.263490,0.032230
101.319900-101.263490,0.056410
101.344080-101.263490,0.080590
101.368250-101.263490,0.104760
101.384370-101.263490,0.120880
101.440780-101.263490,0.177290
101.456900-101.263490,0.193410
101.585830-101.263490,0.322340
101.811470-101.263490,0.547980
101.988760-101.263490,0.725270
102.399740-101.263490,1.136250
102.536740-101.263490,1.273250
102.568970-101.263490,1.305480
102.593150-101.263490,1.329660
102.633440-101.263490,1.369950
102.665670-101.263490,1.402180
102.689850-101.263490,1.426360
102.714030-101.263490,1.450540
102.730140-101.263490,1.466650
102.746260-101.263490,1.482770
102.762380-101.263490,1.498890
102.778490-101.263490,1.515000
104.970410-101.263490,3.706920
105.800440-101.263490,4.536950
105.816560-101.263490,4.553070
106.654650-101.263490,5.391160
107.234860-101.263490,5.971370
107.307390-101.263490,6.043900
107.323510-101.263490,6.060020
107.339620-101.263490,6.076130
107.355740-101.263490,6.092250
107.371860-101.263490,6.108370
107.396030-101.263490,6.132540
107.444380-101.263490,6.180890
